A,B,C,D
1,36,1.07,192.06
2,5,9.18,6.28
3,32,17.37,168
4,19,25.06,90.21
5,15,33.23,66.37
6,25,41.32,126.01
7,13,49.01,54.11
8,8,57.37,24.02
9,2,65.27,-11.74
10,17,73.36,78.33
11,32,81.19,168.11
12,12,89.15,47.99
13,38,97.1,204.31
14,36,105.06,192.04
15,20,113.03,96.19
16,36,121.09,192.05
17,38,129.33,204.05
18,4,137.3,0.12
19,1,145.03,-17.89
20,33,153.08,173.99
21,37,161.31,198.12
22,28,169.37,144.33
23,7,177.07,18.09
24,35,185.37,186.02
25,18,193.04,84.12
26,33,201.3,174.15
27,21,209.31,102.06
28,19,217.07,90.12
29,32,225.3,168.1
30,12,233.13,48.14
31,9,241.17,30.35
32,39,249.37,210.08
33,34,257.36,179.98
34,7,265.15,18.01
35,34,273.02,180.28
36,28,281.27,144.1
37,22,289,108.36
38,30,297.28,156.01
39,27,304.98,138.29
40,32,313.3,168.31
41,0,321.3,-24
42,24,329.27,120.18
43,2,337.3,-11.64
44,22,345.27,108.3
45,11,353.1,42.07
46,6,361.12,12.23
47,10,369.27,36.15
48,21,377.28,102.13
49,3,385.25,-5.81
50,28,393.03,144.34
51,5,401.24,5.99
52,35,409.35,186.29
53,13,417.14,54.31
54,38,425.26,204.07
55,21,433.21,102.2
56,6,441.12,12
57,10,449.33,36.27
58,28,457.23,144.18
59,5,465.09,6.1
60,28,473.05,144.21
61,24,481.12,120.09
62,18,489.31,84.29
63,10,497.23,36.03
64,12,505.32,48.25
65,35,513.3,186.24
66,2,521.26,-11.85
67,7,529.37,18.3
68,28,537.28,144.33
69,36,545.19,192.24
70,35,553.17,186.18
71,8,561.09,24.08
72,4,568.99,0.37
73,16,577.36,72.31
74,14,585.2,60.2
75,6,593.22,12.01
76,28,601.08,144.23
77,28,609.19,144.34
78,30,617,156.01
79,4,625.3,0.1
80,26,633.36,132.05
81,23,641.34,114.07
82,8,649.08,24.06
83,9,657.08,30.37
84,15,665.07,66.19
85,23,673.05,114.11
86,36,681.19,192.09
87,6,689.03,12.2
88,34,697.13,180.37
89,23,705.21,114.23
90,11,713.3,42.24
91,18,721.2,84.14
92,5,729.32,6.11
93,1,737.07,-17.77
94,18,745.35,83.99
95,19,753.05,89.99
96,23,761.04,114.14
97,24,769.21,120.12
98,6,777.17,12.15
99,31,785.31,162.22
100,2,793.17,-11.81
